name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
LENNI MILLS,NA,LENNI MILLS,PA,DELAWARE,NA,NA,Delaware,1858,1967,TRUE,1,32319,TRUE,109,TRUE,LENNI MILLS,DELAWARE,PA,1179198,Populated Place,Lenni Mills,Delaware,39.8940002,-75.447697,46,1,39.8940002,-75.447697,1821-1870,1921-2000
KELSEY,NA,KELSEY,MN,ST. LOUIS,NA,NA,Saint Louis,1897,1988,TRUE,1,92310,TRUE,91,TRUE,KELSEY,ST. LOUIS,MN,2123623,Post Office,Kelsey Post Office,St. Louis,47.15389,-92.59917,397,1,47.15389,-92.59917,1871-1920,1921-2000
PRATTSVILLE,NA,PRATTSVILLE,OH,VINTON,NA,NA,Vinton,1848,1875,FALSE,3,107714,TRUE,27,TRUE,PRATTSVILLE,VINTON,OH,1061571,Populated Place,Prattsville,Vinton,39.23868,-82.39126,240,1,39.23868,-82.39126,1821-1870,1871-1920
MACKAY,NA,MACKAY,ID,CUSTER,NA,NA,Custer,1901,NA,TRUE,0,147159,TRUE,NA,TRUE,MACKAY,CUSTER,ID,2767301,Post Office,Mackay Post Office,Custer,43.91491,-113.6118,1800,1,43.91491,-113.6118,1871-1920,for business
ELGIN,NA,ELGIN,NE,ANTELOPE,NA,NA,Antelope,1884,NA,TRUE,0,135540,TRUE,NA,TRUE,ELGIN,ANTELOPE,NE,1874414,Post Office,Elgin Post Office,Antelope,41.98308,-98.08529,587,1,41.98308,-98.08529,1871-1920,for business
WENDELL,NA,WENDELL (1),NH,SULLIVAN,NA,NA,Sullivan,1832,1853,TRUE,7,61089,TRUE,21,TRUE,WENDELL,SULLIVAN,NH,871347,Populated Place,Wendell,Sullivan,43.3736849,-72.249811,263,1,43.3736849,-72.249811,1821-1870,1821-1870
CENTREVILLE,NA,CENTREVILLE,GA,WILKES,NA,NA,Wilkes,1823,1868,FALSE,5,9907,TRUE,45,TRUE,CENTREVILLE,WILKES,GA,355089,Populated Place,Centreville,Wilkes,33.8012337,-82.9226467,186,1,33.8012337,-82.9226467,1821-1870,1821-1870
BUTNER,NA,BUTNER,NC,GRANVILLE,NA,NA,Granville,1948,NA,TRUE,0,71984,TRUE,NA,TRUE,BUTNER,GRANVILLE,NC,2774157,Post Office,Butner Post Office,Granville,36.1350637,-78.7598316,117,1,36.1350637,-78.7598316,1921-2000,for business
KNOB CREEK,NA,KNOB CREEK,TN,LAWRENCE,NA,NA,Lawrence,1835,1903,FALSE,4,30798,TRUE,68,TRUE,KNOB CREEK,LAWRENCE,TN,1315339,Populated Place,Knob Creek,Lawrence,35.1825804,-87.4789088,202,1,35.1825804,-87.4789088,1821-1870,1871-1920
NUTWOOD,NA,NUTWOOD,OH,TRUMBULL,NA,NA,Trumbull,1890,1954,TRUE,1,103239,TRUE,64,TRUE,NUTWOOD,TRUMBULL,OH,2060383,Post Office,Nutwood Post Office (historical),Trumbull,41.31117,-80.63591,324,1,41.31117,-80.63591,1871-1920,1921-2000
ELK CHESTER,NA,ELK CHESTER,KY,FAYETTE,NA,NA,Fayette,1892,1928,TRUE,3,80618,TRUE,36,TRUE,ELK CHESTER,FAYETTE,KY,491648,Populated Place,Elk Chester,Fayette,38.07202,-84.618,259,1,38.07202,-84.618,1871-1920,1921-2000
TERRACE,NA,TERRACE,MN,POPE,NA,NA,Pope,1881,1974,TRUE,1,117106,TRUE,93,TRUE,TERRACE,POPE,MN,2066934,Post Office,Terrace Post Office (historical),Pope,45.51,-95.31972,401,1,45.51,-95.31972,1871-1920,1921-2000
DRIFTWOOD,NA,DRIFTWOOD,TX,HAYS,NA,NA,Hays,1886,NA,TRUE,0,134645,TRUE,NA,TRUE,DRIFTWOOD,HAYS,TX,2731676,Post Office,Driftwood Post Office,Hays,30.12344,-98.03239,321,1,30.12344,-98.03239,1871-1920,for business
FERNANDINA BEACH,NA,FERNANDINA BEACH,FL,NASSAU,NA,NA,Nassau,1952,NA,TRUE,0,19873,TRUE,NA,TRUE,FERNANDINA BEACH,NASSAU,FL,2767991,Post Office,Fernandina Beach Post Office,Nassau,30.6404357,-81.4499356,7,1,30.6404357,-81.4499356,1921-2000,for business
PIEDMONT,NA,PIEDMONT,MO,WAYNE,NA,NA,Wayne,1872,NA,TRUE,0,44990,TRUE,NA,TRUE,PIEDMONT,WAYNE,MO,2783192,Post Office,Piedmont Post Office,Wayne,37.1558006,-90.6960921,152,1,37.1558006,-90.6960921,1871-1920,for business
FARROW TOWN,NA,FARROW TOWN,IL,CALHOUN,NA,NA,Calhoun,1857,1866,TRUE,7,82250,TRUE,9,TRUE,FARROWTOWN,CALHOUN,IL,411293,Populated Place,Farrowtown,Calhoun,39.29783,-90.60901,132,0.9090909,39.29783,-90.60901,1821-1870,1821-1870
CARLOS,NA,CARLOS,MN,DOUGLAS,NA,NA,Douglas,1881,NA,FALSE,0,72757,TRUE,NA,TRUE,CARLOS,DOUGLAS,MN,2069706,Post Office,Carlos Post Office,Douglas,45.9729,-95.29296,418,1,45.9729,-95.29296,1871-1920,for business
EMERSON,NA,EMERSON,KY,LEWIS,NA,NA,Lewis,1894,NA,TRUE,0,81082,TRUE,NA,TRUE,EMERSON,LEWIS,KY,2362981,Post Office,Emerson Post Office (historical),Lewis,38.354,-83.23302,294,1,38.354,-83.23302,1871-1920,for business
JENKINS BRIDGE,NA,JENKINS BRIDGE,VA,ACCOMACK,NA,NA,Accomack,1857,NA,FALSE,0,91441,TRUE,NA,TRUE,JENKINS BRIDGE,ACCOMACK,VA,1779650,Post Office,Jenkins Bridge Post Office,Accomack,37.92179,-75.61298,2,1,37.92179,-75.61298,1821-1870,for business
CAMPBELLVILLE,NA,CAMPBELLVILLE,PA,SULLIVAN,NA,NA,Sullivan,1851,1920,TRUE,3,8609,TRUE,69,TRUE,CAMPBELLVILLE,SULLIVAN,PA,1203216,Populated Place,Campbellville,Sullivan,41.5481309,-76.5538365,389,1,41.5481309,-76.5538365,1821-1870,1871-1920
REELSBORO,NA,REELSBORO,NC,PAMLICO,NA,NA,Pamlico,1891,1927,TRUE,3,108971,TRUE,36,TRUE,REELSBORO,PAMLICO,NC,993211,Populated Place,Reelsboro,Pamlico,35.13405,-76.91327,13,1,35.13405,-76.91327,1871-1920,1921-2000
FALLS CITY,NA,FALLS CITY,ID,JEROME,NA,NA,Jerome,1911,1916,TRUE,5,136653,TRUE,5,TRUE,FALLS CITY,JEROME,ID,372658,Populated Place,Falls City,Jerome,42.68046,-114.4242,1171,1,42.68046,-114.4242,1871-1920,1871-1920
TAYLOR'S FERRY,TAYLORS FERRY,TAYLOR'S FERRY,OR,WASHINGTON,NA,NA,Washington,1869,1869,TRUE,9,161271,TRUE,0,TRUE,TAYLORS FERRY,WASHINGTON,OR,1164715,Post Office,Taylors Ferry Post Office (historical),Washington,45.39706,-122.7879,38,1,45.39706,-122.7879,1821-1870,1821-1870
COAL CREEK,NA,COAL CREEK,AL,JEFFERSON,NA,NA,Jefferson,1859,1859,TRUE,9,11554,TRUE,0,TRUE,COAL CREEK,JEFFERSON,AL,146126,Mine,Coal Creek Mine,Jefferson,33.6376054,-86.9861072,169,NA,33.6376054,-86.9861072,1821-1870,1821-1870
ALERT,NA,ALERT,NC,FRANKLIN,NA,NA,Franklin,1879,1939,TRUE,2,64869,TRUE,60,TRUE,ALERT,FRANKLIN,NC,980087,Populated Place,Alert,Franklin,36.2309822,-78.222493,121,1,36.2309822,-78.222493,1871-1920,1921-2000
SHOOK'S BLUFF,SHOOKS BLUFF,SHOOK'S BLUFF,TX,CHEROKEE,NA,NA,Cherokee,1858,1876,TRUE,7,158736,TRUE,18,TRUE,SHOOKS BLUFF,CHEROKEE,TX,1368223,Cemetery,Shooks Bluff Cemetery,Cherokee,31.45462,-95.01271,75,1,31.45462,-95.01271,1821-1870,1871-1920
BROWNINGHILL,NA,BROWNINGHILL,IL,FRANKLIN,NA,NA,Franklin,1907,1907,TRUE,7,71063,TRUE,0,TRUE,BROWNING HILL,FRANKLIN,IL,404970,Cemetery,Browning Hill Cemetery,Franklin,38.0225429,-88.9897882,137,0.916666667,38.0225429,-88.9897882,1871-1920,1871-1920
EAST LEROY,NA,EAST LEROY (2),MI,CALHOUN,NA,NA,Calhoun,1874,NA,TRUE,0,79910,TRUE,NA,TRUE,EAST LEROY,CALHOUN,MI,2630094,Post Office,East Leroy Post Office,Calhoun,42.16648,-85.21699,280,1,42.16648,-85.21699,1871-1920,for business
BAYBORO,NA,BAYBORO,GA,COLQUITT,NA,NA,Colquitt,1890,1904,TRUE,5,3445,TRUE,14,TRUE,BAYBORO,COLQUITT,GA,343920,Populated Place,Bayboro (historical),Colquitt,31.1660208,-83.5679437,68,1,31.1660208,-83.5679437,1871-1920,1871-1920
ASBURY,NA,ASBURY,TN,KNOX,NA,NA,Knox,1874,1912,TRUE,4,1884,TRUE,38,TRUE,ASBURY,KNOX,TN,1275917,Populated Place,Asbury,Knox,35.9525846,-83.8257352,270,1,35.9525846,-83.8257352,1871-1920,1871-1920
ESMOND,NA,ESMOND,RI,PROVIDENCE,NA,NA,Providence,1908,1955,TRUE,1,18756,TRUE,47,TRUE,ESMOND,PROVIDENCE,RI,1218751,Populated Place,Esmond,Providence,41.8723216,-71.4945049,43,1,41.8723216,-71.4945049,1871-1920,1921-2000
ARMSTRONG,NA,ARMSTRONG,AR,SHARP,NA,NA,Sharp,1885,1915,TRUE,4,1769,TRUE,30,TRUE,ARMSTRONG,SHARP,AR,57280,Populated Place,Armstrong,Sharp,36.3728428,-91.3173561,157,1,36.3728428,-91.3173561,1871-1920,1871-1920
TYRRELL HILL,NA,TYRRELL HILL,OH,TRUMBULL,NA,NA,Trumbull,1878,1894,TRUE,3,118599,TRUE,16,TRUE,TYRRELL HILL,TRUMBULL,OH,2056302,Post Office,Tyrrell Hill Post Office,Trumbull,41.27228,-80.63591,345,1,41.27228,-80.63591,1871-1920,1871-1920
PARIS STATION,PARIS,PARIS STATION,NY,ONEIDA,NA,NA,Oneida,1889,1986,TRUE,1,43799,TRUE,97,TRUE,PARIS STATION,ONEIDA,NY,959862,Populated Place,Paris Station,Oneida,42.9634033,-75.3087774,432,1,42.9634033,-75.3087774,1871-1920,1921-2000
BRYAN,NA,BRYAN (CH),GA,BRYAN,NA,NA,Bryan,1808,1887,FALSE,6,7460,TRUE,79,TRUE,BRYAN,BRYAN,GA,350496,Civil,Bryan County,Bryan,32.0132243,-81.4424722,6,NA,32.0132243,-81.4424722,1770-1820,1871-1920
MOORES FORK,NA,MOORES FORK,OH,CLERMONT,NA,NA,Clermont,1884,1906,FALSE,3,100190,TRUE,22,TRUE,MOORES FORK,CLERMONT,OH,1966272,Post Office,Moores Fork Post Office,Clermont,39.1959,-84.02215,286,1,39.1959,-84.02215,1871-1920,1871-1920
