name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
ELK GROVE,NA,ELK GROVE,MO,LAFAYETTE,NA,NA,Lafayette,1851,1867,TRUE,7,17978,TRUE,16,TRUE,ELK GROVE,LAFAYETTE,MO,730092,School,Elk Grove School (historical),Lafayette,39.0555717,-93.5796579,232,1,39.0555717,-93.5796579,1821-1870,1821-1870
CARROLLTOWN,NA,CARROLLTOWN,PA,CAMBRIA,NA,NA,Cambria,1849,NA,TRUE,0,9121,TRUE,NA,TRUE,CARROLLTOWN,CAMBRIA,PA,2780008,Post Office,Carrolltown Post Office,Cambria,40.6040073,-78.7092561,657,1,40.6040073,-78.7092561,1821-1870,for business
MOLINO,NA,MOLINO,FL,ESCAMBIA,NA,NA,Escambia,1866,NA,TRUE,0,37984,TRUE,NA,TRUE,MOLINO,ESCAMBIA,FL,2783376,Post Office,Molino Post Office,Escambia,30.7224451,-87.3253419,41,1,30.7224451,-87.3253419,1821-1870,for business
QUEEN CITY,NA,QUEEN CITY,TX,CASS,NA,NA,Cass,1877,NA,TRUE,0,155022,TRUE,NA,TRUE,QUEEN CITY,CASS,TX,2731944,Post Office,Queen City Post Office,Cass,33.14329,-94.13455,101,1,33.14329,-94.13455,1871-1920,for business
LA LANDE,NA,LA LANDE,NM,DE BACA,NA,NA,DeBaca,1906,1955,TRUE,1,144704,TRUE,49,TRUE,LA LANDE,DE BACA,NM,938302,Post Office,La Lande Post Office (historical),De Baca,34.44812,-104.1341,1255,1,34.44812,-104.1341,1871-1920,1921-2000
SMARTSBURG,SMARTSBURGH,SMARTSBURG(H),IN,MONTGOMERY,NA,NA,Montgomery,1886,1899,TRUE,5,113909,TRUE,13,TRUE,SMARTSBURG,MONTGOMERY,IN,449731,Populated Place,Smartsburg,Montgomery,40.04699,-86.82862,249,1,40.04699,-86.82862,1871-1920,1871-1920
BURNS CANON,NA,BURNS CANON,NM,RIO ARRIBA,NA,NA,Rio Arriba,1923,1924,TRUE,5,129087,TRUE,1,TRUE,BURNS CANYON,RIO ARRIBA,NM,937962,Post Office,Burns Canyon Post Office (historical),Rio Arriba,36.46528,-106.7825,2459,0.9090909,36.46528,-106.7825,1921-2000,1921-2000
CAMP RUHLIN,NA,CAMP RUHLIN,SD,MEADE,NA,NA,Meade,1878,1879,TRUE,9,129590,TRUE,1,TRUE,CAMP RUHLEN,MEADE,SD,2709885,Post Office,Camp Ruhlen Post Office,Meade,44.41073,-103.4747,1007,0.9090909,44.41073,-103.4747,1871-1920,1871-1920
WADLEYS FALLS,WADLEY'S FALLS,WADLEY(')S FALLS (2),NH,STRAFFORD,NA,NA,Strafford,1838,1908,FALSE,5,59893,TRUE,70,TRUE,WADLEY FALLS,STRAFFORD,NH,870631,Populated Place,Wadley Falls,Strafford,43.0920296,-71.0078379,28,0.923076923,43.0920296,-71.0078379,1821-1870,1871-1920
LINCOLNVILLE,NA,LINCOLNVILLE,SC,BERKELEY,NA,NA,Berkeley,1883,1912,TRUE,4,32869,TRUE,29,TRUE,LINCOLNVILLE,BERKELEY,SC,1247585,Populated Place,Lincolnville,Berkeley,33.4123877,-80.1470284,26,1,33.4123877,-80.1470284,1871-1920,1871-1920
SIDNEY,NA,SIDNEY,ND,CASS,NA,NA,Cass,1882,1883,TRUE,9,158802,TRUE,1,TRUE,SIDNEY,CASS,ND,1034303,Locale,Sidney (historical),Cass,46.90414,-97.28787,290,1,46.90414,-97.28787,1871-1920,1871-1920
ELLEROY,NA,ELLEROY,IL,STEPHENSON,NA,NA,Stephenson,1850,1852,TRUE,7,80763,TRUE,2,TRUE,ELEROY,STEPHENSON,IL,1821235,Post Office,Eleroy Post Office,Stephenson,42.33355,-89.76075,276,0.8571429,42.33355,-89.76075,1821-1870,1821-1870
ACKWORTH,NA,ACKWORTH,GA,COBB,NA,NA,Cobb,1844,NA,FALSE,0,136,TRUE,NA,TRUE,ACKWORTH,COBB,GA,354258,Populated Place,Ackworth,Cobb,34.0659329,-84.6768796,277,1,34.0659329,-84.6768796,1821-1870,for business
MAPLE GROVE,NA,MAPLE GROVE,MO,JASPER,NA,NA,Jasper,1879,1894,TRUE,5,35179,TRUE,15,TRUE,MAPLE GROVE,JASPER,MO,721818,Populated Place,Maple Grove,Jasper,37.2536658,-94.1257742,335,1,37.2536658,-94.1257742,1871-1920,1871-1920
PEACH GROVE,NA,PEACH GROVE,LA,EAST FELICIANA,NA,NA,East Feliciana,1854,1855,TRUE,9,44237,TRUE,1,TRUE,BEECH GROVE,EAST FELICIANA,LA,532880,Cemetery,Beech Grove Cemetery,East Feliciana,30.8973967,-90.9537078,90,0.818181818,30.8973967,-90.9537078,1821-1870,1821-1870
PUSEYVILLE,NA,PUSEYVILLE,PA,LANCASTER,NA,NA,Lancaster,1848,1861,TRUE,7,47131,TRUE,13,TRUE,PUSEYVILLE,LANCASTER,PA,1214432,Post Office,Puseyville Post Office (historical),Lancaster,39.849549,-76.1118965,104,1,39.849549,-76.1118965,1821-1870,1821-1870
BOYD,NA,BOYD,MN,LAC QUI PARLE,NA,NA,Lac Qui Parle,1884,NA,TRUE,0,70191,TRUE,NA,TRUE,BOYD,LAC QUI PARLE,MN,2065897,Post Office,Boyd Post Office,Lac qui Parle,44.8514452,-95.9029145,321,1,44.8514452,-95.9029145,1871-1920,for business
AYRES,NA,AYRES,MO,SALINE,NA,NA,Saline,1892,1903,TRUE,5,2483,TRUE,11,TRUE,AYRES,SALINE,MO,743647,Locale,Ayres (historical),Saline,39.3050252,-93.0721412,230,1,39.3050252,-93.0721412,1871-1920,1871-1920
OSTRANDER,NA,OSTRANDER,WI,WAUPACA,NA,NA,Waupaca,1882,1898,TRUE,6,104476,TRUE,16,TRUE,OSTRANDER,WAUPACA,WI,1570880,Populated Place,Ostrander,Waupaca,44.39276,-88.83788,241,1,44.39276,-88.83788,1871-1920,1871-1920
FUNK,NA,FUNK,NE,PHELPS,NA,NA,Phelps,1888,NA,TRUE,0,138096,TRUE,NA,TRUE,FUNK,PHELPS,NE,1873989,Post Office,Funk Post Office,Phelps,40.46118,-99.25026,685,1,40.46118,-99.25026,1871-1920,for business
GROVANIA,NA,GROVANIA,GA,HOUSTON,NA,NA,Houston,1889,1952,FALSE,1,24161,TRUE,63,TRUE,GROVANIA,HOUSTON,GA,331877,Populated Place,Grovania,Houston,32.3659888,-83.6632351,132,1,32.3659888,-83.6632351,1871-1920,1921-2000
JACKSONS MILLS,JACKSON'S MILLS,JACKSON(')S MILLS,NJ,OCEAN,NA,NA,Ocean,1837,1907,FALSE,3,28963,TRUE,70,TRUE,JACKSONS MILLS,OCEAN,NJ,877394,Populated Place,Jacksons Mills,Ocean,40.1478911,-74.324036,30,1,40.1478911,-74.324036,1821-1870,1871-1920
WILTON SPRINGS,NA,WILTON SPRINGS,TN,COCKE,NA,NA,Cocke,1855,1892,FALSE,4,63001,TRUE,37,TRUE,WILTON SPRINGS,COCKE,TN,1314518,Populated Place,Wilton Springs,Cocke,35.878986,-83.1865436,364,1,35.878986,-83.1865436,1821-1870,1871-1920
LATHAM,NA,LATHAM,AR,VAN BUREN,NA,NA,Van Buren,1888,1918,TRUE,4,31756,TRUE,30,TRUE,LATHAM,VAN BUREN,AR,68677,Populated Place,Latham (historical),Van Buren,35.5667452,-92.6959969,258,1,35.5667452,-92.6959969,1871-1920,1871-1920
COLLEGE  SAINT JAMES,OF SAINT JAMES,COLLEGE (OF) SAINT JAMES,MD,WASHINGTON,NA,NA,Washington,1847,1901,FALSE,4,75394,TRUE,54,TRUE,COLLEGE OF SAINT JAMES,WASHINGTON,MD,587027,School,College of Saint James,Washington,39.57518,-77.75817,158,0.9,39.57518,-77.75817,1821-1870,1871-1920
ORE HILL,NA,ORE HILL,PA,BLAIR,NA,NA,Blair,1878,1942,TRUE,2,42891,TRUE,64,TRUE,ORE HILL,BLAIR,PA,1183026,Populated Place,Ore Hill,Blair,40.2936875,-78.4008474,440,1,40.2936875,-78.4008474,1871-1920,1921-2000
BLAINE,NA,BLAINE,WI,PORTAGE,NA,NA,Portage,1876,1903,TRUE,5,69265,TRUE,27,TRUE,BLAINE,PORTAGE,WI,1561908,Populated Place,Blaine,Portage,44.3091419,-89.3156722,342,1,44.3091419,-89.3156722,1871-1920,1871-1920
ROZNOV,NA,ROZNOV,TX,FAYETTE,NA,NA,Fayette,1892,1906,TRUE,5,156875,TRUE,14,TRUE,ROZNOV,FAYETTE,TX,1380468,Populated Place,Roznov,Fayette,29.98439,-96.70831,116,1,29.98439,-96.70831,1871-1920,1871-1920
MERCYVILLE,NA,MERCYVILLE,MO,MACON,NA,NA,Macon,1867,1889,TRUE,4,36857,TRUE,22,TRUE,MERCYVILLE,MACON,MO,735597,Populated Place,Mercyville,Macon,39.9569763,-92.6504701,224,1,39.9569763,-92.6504701,1821-1870,1871-1920
DERRYHALE,NA,DERRYHALE,WV,FAYETTE,NA,NA,Fayette,1902,1920,TRUE,3,78298,TRUE,18,TRUE,DERRYHALE,FAYETTE,WV,1554295,Populated Place,Derryhale,Fayette,37.91345,-81.16399,524,1,37.91345,-81.16399,1871-1920,1871-1920
BRIGHT,NA,BRIGHT,WI,CLARK,NA,NA,Clark,1902,1913,TRUE,4,70691,TRUE,11,TRUE,BRIGHT,CLARK,WI,1876583,Populated Place,Bright,Clark,44.8860779,-90.5320811,394,1,44.8860779,-90.5320811,1871-1920,1871-1920
RAMONA,NA,RAMONA,CA,LOS ANGELES,NA,NA,Los Angeles,1887,1895,TRUE,6,155196,TRUE,8,TRUE,RAMONA,LOS ANGELES,CA,247937,School,Ramona High School,Los Angeles,34.03418,-118.1917,98,1,34.03418,-118.1917,1871-1920,1871-1920
RED HILL,NA,RED HILL,AL,BLOUNT,NA,NA,Blount,1836,1839,TRUE,9,47845,TRUE,3,TRUE,RED HILL,BLOUNT,AL,135149,Populated Place,Red Hill,Blount,33.8420471,-86.9249983,238,1,33.8420471,-86.9249983,1821-1870,1821-1870
BROKEN BOW,NA,BROKEN BOW,OK,MCCURTAIN,NA,NA,McCurtain,1911,NA,TRUE,0,128546,TRUE,NA,TRUE,BROKEN BOW,MCCURTAIN,OK,1813345,Post Office,Broken Bow Post Office,McCurtain,34.03098,-94.73758,146,1,34.03098,-94.73758,1871-1920,for business
BEXAR,NA,BEXAR,AR,FULTON,NA,NA,Fulton,1890,NA,TRUE,0,4733,TRUE,NA,TRUE,BEXAR,FULTON,AR,57371,Populated Place,Bexar,Fulton,36.2867328,-91.9957071,270,1,36.2867328,-91.9957071,1871-1920,for business
MECCA,NA,MECCA,CA,RIVERSIDE,NA,NA,Riverside,1903,NA,TRUE,0,148377,TRUE,NA,TRUE,MECCA,RIVERSIDE,CA,2769453,Post Office,Mecca Post Office,Riverside,33.56998,-116.0737,-57,1,33.56998,-116.0737,1871-1920,for business
YEWED,NA,YEWED,OK,ALFALFA,NA,NA,Alfalfa,1898,1952,TRUE,1,165898,TRUE,54,TRUE,YEWED,ALFALFA,OK,1100954,Populated Place,Yewed,Alfalfa,36.68225,-98.41008,382,1,36.68225,-98.41008,1871-1920,1921-2000
CARDEN'S BLUFF,CARDENS BLUFF,CARDEN'S BLUFF,TN,CARTER,NA,NA,Carter,1873,1931,FALSE,2,8911,TRUE,58,TRUE,CARDENS BLUFF,CARTER,TN,1303083,Populated Place,Cardens Bluff (historical),Carter,36.315392,-82.1151264,595,1,36.315392,-82.1151264,1871-1920,1921-2000
MARLBORO,MARLBOROUGH,MARLBORO(UGH),NJ,MONMOUTH,NA,NA,Monmouth,1834,NA,FALSE,0,35446,TRUE,NA,TRUE,MARLBORO,MONMOUTH,NJ,2802070,Post Office,Marlboro Post Office,Monmouth,40.3147039,-74.2501986,52,1,40.3147039,-74.2501986,1821-1870,for business
DRY POINT,NA,DRY POINT,IL,SHELBY,NA,NA,Shelby,1864,1866,TRUE,8,79241,TRUE,2,TRUE,DRY POINT,SHELBY,IL,428914,Civil,Township of Dry Point,Shelby,39.24548,-88.86142,180,NA,39.24548,-88.86142,1821-1870,1821-1870
ANDREWS,NA,ANDREWS,FL,NASSAU,NA,NA,Nassau,1910,1920,TRUE,3,1281,TRUE,10,TRUE,ANDREWS,NASSAU,FL,295093,Populated Place,Andrews,Nassau,30.7352343,-81.9478904,28,1,30.7352343,-81.9478904,1871-1920,1871-1920
ARTONDALE,NA,ARTONDALE,WA,PIERCE,NA,NA,Pierce,1878,1905,TRUE,4,125443,TRUE,27,TRUE,ARTONDALE,PIERCE,WA,1511972,Populated Place,Artondale,Pierce,47.29954,-122.6207,7,1,47.29954,-122.6207,1871-1920,1871-1920
ALBANY,NA,ALBANY,LA,CADDO,NA,NA,Caddo,1849,1866,FALSE,7,503,TRUE,17,TRUE,ALBANY,CADDO,LA,552206,Populated Place,Albany (historical),Caddo,32.6126484,-93.8321246,66,1,32.6126484,-93.8321246,1821-1870,1821-1870
HEMPHILL,NA,HEMPHILL,WV,MCDOWELL,NA,NA,McDowell,1905,NA,TRUE,0,88426,TRUE,NA,TRUE,HEMPHILL,MCDOWELL,WV,1540139,Populated Place,Hemphill,McDowell,37.44484,-81.59538,390,1,37.44484,-81.59538,1871-1920,for business
CHESTER STATION,CHESTER,CHESTER STATION,WI,DODGE,NA,NA,Dodge,1856,1881,TRUE,7,74071,TRUE,25,TRUE,CHESTER STATION,DODGE,WI,1577583,Populated Place,Chester Station,Dodge,43.62416,-88.69066,269,1,43.62416,-88.69066,1821-1870,1871-1920
WARREN CENTRE,WARREN CENTER,WARREN CENTRE(ER),PA,BRADFORD,NA,NA,Bradford,1853,NA,TRUE,0,60407,TRUE,NA,TRUE,WARREN CENTER,BRADFORD,PA,2777451,Post Office,Warren Center Post Office,Bradford,41.9392349,-76.1817147,404,1,41.9392349,-76.1817147,1821-1870,for business
COTTON VALLEY,NA,COTTON VALLEY,MS,CALHOUN,NA,NA,Calhoun,1871,1884,TRUE,7,12887,TRUE,13,TRUE,COTTON VALLEY,CALHOUN,MS,683371,Locale,Cotton Valley (historical),Calhoun,33.9373353,-89.4417442,107,1,33.9373353,-89.4417442,1871-1920,1871-1920
ROBINSON'S FERRY,ROBINSONS FERRY,ROBINSON'S FERRY,CA,CALAVERAS,NA,NA,Calaveras,1879,1895,TRUE,5,156264,TRUE,16,TRUE,ROBINSON'S FERRY,CALAVERAS,CA,1656158,Populated Place,Robinson's Ferry,Calaveras,38.01242,-120.4985,320,1,38.01242,-120.4985,1871-1920,1871-1920
LAYLAND,NA,LAYLAND,OH,COSHOCTON,NA,NA,Coshocton,1888,1955,TRUE,1,94117,TRUE,67,TRUE,LAYLAND,COSHOCTON,OH,1967433,Post Office,Layland Post Office (historical),Coshocton,40.43618,-81.96653,243,1,40.43618,-81.96653,1871-1920,1921-2000
ROLLERSVILLE,NA,ROLLERSVILLE,OH,SANDUSKY,NA,NA,Sandusky,1839,1908,TRUE,3,110413,TRUE,69,TRUE,ROLLERSVILLE,SANDUSKY,OH,2057001,Post Office,Rollersville Post Office (historical),Sandusky,41.34033,-83.3777,210,1,41.34033,-83.3777,1821-1870,1871-1920
CLAYTON,NA,CLAYTON,DE,KENT,NA,NA,Kent,1860,NA,TRUE,0,74658,TRUE,NA,TRUE,CLAYTON,KENT,DE,2783355,Post Office,Clayton Post Office,Kent,39.29174,-75.63423,14,1,39.29174,-75.63423,1821-1870,for business
MIDLAND,NA,MIDLAND,OR,KLAMATH,NA,NA,Klamath,1909,NA,TRUE,0,148807,TRUE,NA,TRUE,MIDLAND,KLAMATH,OR,1165630,Post Office,Midland Post Office,Klamath,42.13058,-121.8226,1249,1,42.13058,-121.8226,1871-1920,for business
MORTON,NA,MORTON,MI,KALAMAZOO,NA,NA,Kalamazoo,1836,1838,TRUE,9,100433,TRUE,2,TRUE,MORTON,KALAMAZOO,MI,2627863,Post Office,Morton Post Office,Kalamazoo,42.28876,-85.41533,241,1,42.28876,-85.41533,1821-1870,1821-1870
ALLEGRE,NA,ALLEGRE,KY,TODD,NA,NA,Todd,1884,NA,TRUE,0,64986,TRUE,NA,TRUE,ALLEGRE,TODD,KY,485843,Populated Place,Allegre,Todd,36.9286542,-87.2172226,197,1,36.9286542,-87.2172226,1871-1920,for business
TOUCHET,NA,TOUCHET,WA,COLUMBIA,NA,NA,Columbia,1864,1872,TRUE,7,162086,TRUE,8,TRUE,TOUCHET,COLUMBIA,WA,1504356,Populated Place,Touchet,Columbia,46.32375,-117.9724,506,1,46.32375,-117.9724,1821-1870,1871-1920
WYOMA,NA,WYOMA,WV,MASON,NA,NA,Mason,1884,1916,TRUE,4,123343,TRUE,32,TRUE,WYOMA,MASON,WV,1553528,Populated Place,Wyoma,Mason,38.76342,-82.12876,272,1,38.76342,-82.12876,1871-1920,1871-1920
SAINT HELENA,NA,SAINT HELENA,MD,BALTIMORE,NA,NA,Baltimore,1894,1897,TRUE,6,111429,TRUE,3,TRUE,SAINT HELENA,BALTIMORE,MD,591213,Populated Place,Saint Helena,Baltimore,39.26011,-76.52524,9,1,39.26011,-76.52524,1871-1920,1871-1920
MANUEL,NA,MANUEL,KY,PERRY,NA,NA,Perry,1910,1952,TRUE,1,97148,TRUE,42,TRUE,MANUEL,PERRY,KY,2557368,Post Office,Manuel Post Office (historical),Perry,37.35073,-83.3041,266,1,37.35073,-83.3041,1871-1920,1921-2000
DRY CREEK,NA,DRY CREEK,LA,BEAUREGARD,NA,NA,Beauregard,1874,NA,TRUE,0,16040,TRUE,NA,TRUE,DRY CREEK,BEAUREGARD,LA,1630151,Post Office,Dry Creek Post Office,Beauregard,30.6714499,-93.0452969,32,1,30.6714499,-93.0452969,1871-1920,for business
SCOTTSVILLE,NA,SCOTTSVILLE,AR,POPE,NA,NA,Pope,1874,1974,TRUE,1,51545,TRUE,100,TRUE,SCOTTSVILLE,POPE,AR,78306,Populated Place,Scottsville,Pope,35.4486925,-93.0465615,152,1,35.4486925,-93.0465615,1871-1920,1921-2000
NORTH HARPERSFIELD,NA,NORTH HARPERSFIELD,NY,DELAWARE,NA,NA,Delaware,1833,1915,TRUE,2,41247,TRUE,82,TRUE,NORTH HARPERSFIELD,DELAWARE,NY,958807,Populated Place,North Harpersfield,Delaware,42.4725778,-74.6918189,486,1,42.4725778,-74.6918189,1821-1870,1871-1920
KASAAN,NA,KASAAN,AK,NA,NA,NA,NA,1900,1971,TRUE,1,143719,TRUE,71,TRUE,KASAAN,PRINCE OF WALES-HYDER,AK,2542406,Post Office,Kasaan Post Office (historical),Prince of Wales-Hyder (CA),55.5398,-132.4037,14,1,55.5398,-132.4037,1871-1920,1921-2000
SPIRIT,NA,SPIRIT,WI,PRICE,NA,NA,Price,1880,1939,FALSE,2,114718,TRUE,59,TRUE,SPIRIT,PRICE,WI,1574553,Populated Place,Spirit,Price,45.45413,-90.11431,513,1,45.45413,-90.11431,1871-1920,1921-2000
EAST HOUSTON,NA,EAST HOUSTON,TX,HARRIS,NA,NA,Harris,1902,1915,TRUE,2,135076,TRUE,13,TRUE,EAST HOUSTON,HARRIS,TX,1373551,Populated Place,East Houston,Harris,29.82967,-95.26993,13,1,29.82967,-95.26993,1871-1920,1871-1920
OLIO,NA,OLIO,NM,SAN JUAN,NA,NA,San Juan,1884,1903,TRUE,5,151834,TRUE,19,TRUE,OLIO,SAN JUAN,NM,938294,Post Office,Olio,San Juan,36.74172,-108.3574,1593,1,36.74172,-108.3574,1871-1920,1871-1920
HOLLY SPRINGS,NA,HOLLY SPRINGS,IA,WOODBURY,NA,NA,Woodbury,1882,1905,TRUE,5,89405,TRUE,23,TRUE,HOLLY SPRINGS,WOODBURY,IA,1995540,Post Office,Holly Springs Post Office (historical),Woodbury,42.27055,-96.07779,328,1,42.27055,-96.07779,1871-1920,1871-1920
MORELAND,NA,MORELAND,PA,LYCOMING,NA,NA,Lycoming,1833,1903,TRUE,3,38406,TRUE,70,TRUE,MORELAND,LYCOMING,PA,1204208,Populated Place,Moreland,Lycoming,41.1892498,-76.6521768,214,1,41.1892498,-76.6521768,1821-1870,1871-1920
AQUETUCK,NA,AQUETUCK,NY,ALBANY,NA,NA,Albany,1878,1925,TRUE,3,1513,TRUE,47,TRUE,AQUETUCK,ALBANY,NY,942525,Populated Place,Aquetuck,Albany,42.4606372,-73.8384585,96,1,42.4606372,-73.8384585,1871-1920,1921-2000
JORDAN,NA,JORDAN,MI,ANTRIM,NA,NA,Antrirn,1875,1879,TRUE,8,91848,TRUE,4,TRUE,JORDAN,ANTRIM,MI,1615098,Cemetery,Jordan Township Cemetery,Antrim,45.09661,-85.0396,279,1,45.09661,-85.0396,1871-1920,1871-1920
GRACE CITY,NA,GRACE CITY,ND,FOSTER,NA,NA,Foster,1911,NA,TRUE,0,139327,TRUE,NA,TRUE,GRACE CITY,FOSTER,ND,2742021,Post Office,Grace City Post Office,Foster,47.55043,-98.80488,461,1,47.55043,-98.80488,1871-1920,for business
SHELTON,NA,SHELTON,WV,CLAY,NA,NA,Clay,1899,1904,FALSE,6,113063,TRUE,5,TRUE,SHELTON,CLAY,WV,1555607,Populated Place,Shelton,Clay,38.43149,-81.19511,199,1,38.43149,-81.19511,1871-1920,1871-1920
WALNUT FORK,NA,WALNUT FORK,AR,NEWTON,NA,NA,Newton,1849,1866,FALSE,7,60149,TRUE,17,TRUE,WALNUT FORK,NEWTON,AR,78677,Populated Place,Walnut Fork,Newton,35.7906359,-93.3593472,327,1,35.7906359,-93.3593472,1821-1870,1821-1870
NEW PARK,NA,NEW PARK,PA,YORK,NA,NA,York,1871,NA,TRUE,0,40293,TRUE,NA,TRUE,NEW PARK,YORK,PA,2756689,Post Office,New Park Post Office,York,39.7337019,-76.5062498,243,1,39.7337019,-76.5062498,1871-1920,for business
CONKLING,NA,CONKLING,IA,AUDUBON,NA,NA,Audubon,1881,1894,TRUE,6,75738,TRUE,13,TRUE,CONKLING,AUDUBON,IA,1994818,Post Office,Conkling Post Office (historical),Audubon,41.63138,-94.76387,448,1,41.63138,-94.76387,1871-1920,1871-1920
THOMPSONVILLE,NA,THOMPSONVILLE,KY,WASHINGTON,NA,NA,Washington,1850,1852,TRUE,7,117308,TRUE,2,TRUE,THOMPSONVILLE,WASHINGTON,KY,2567722,Post Office,Thompsonville Post Office,Washington,37.72786,-85.13673,265,1,37.72786,-85.13673,1821-1870,1821-1870
FRY CANYON,NA,FRY CANYON,UT,SAN JUAN,NA,NA,San Juan,1957,1973,TRUE,1,138052,TRUE,16,TRUE,FRY CANYON,SAN JUAN,UT,1435562,Populated Place,Fry Canyon,San Juan,37.6311,-110.1562,1638,1,37.6311,-110.1562,1921-2000,1921-2000
PRINCETON,NA,PRINCETON,NV,LINCOLN,NA,NA,Lincoln,1909,1910,TRUE,8,154753,TRUE,1,TRUE,PRINCETON,LINCOLN,NV,864287,Post Office,Princeton Post Office (historical),Lincoln,37.89163,-114.485,1755,1,37.89163,-114.485,1871-1920,1871-1920
HOOPER BAY,NA,HOOPER BAY,AK,NA,NA,NA,NA,1935,NA,TRUE,0,141926,TRUE,NA,TRUE,HOOPER BAY,KUSILVAK,AK,2759306,Post Office,Hooper Bay Post Office,Kusilvak (CA),61.52789,-166.1135,7,1,61.52789,-166.1135,1921-2000,for business
EAGLETOWN,NA,EAGLETOWN,OK,MCCURTAIN,NA,NA,McCurtain,1834,NA,TRUE,0,135015,TRUE,NA,TRUE,EAGLETOWN,MCCURTAIN,OK,1813914,Post Office,Eagletown Post Office,McCurtain,34.04447,-94.58957,119,1,34.04447,-94.58957,1821-1870,for business
MANNING,NA,MANNING,TX,ANGELINA,NA,NA,Angelina,1906,1940,TRUE,2,147467,TRUE,34,TRUE,MANNING,ANGELINA,TX,1382227,Populated Place,Manning,Angelina,31.1388,-94.53631,83,1,31.1388,-94.53631,1871-1920,1921-2000
LACREEK,NA,LACREEK,SD,BENNETT,NA,NA,Bennett,1909,1921,TRUE,3,144796,TRUE,12,TRUE,LACREEK,BENNETT,SD,1264140,Populated Place,LaCreek (historical),Bennett,43.09167,-101.6468,935,1,43.09167,-101.6468,1871-1920,1921-2000
DORA,NA,DORA,GA,FANNIN,NA,NA,Fannin,1888,1916,TRUE,4,15643,TRUE,28,TRUE,DORA,FANNIN,GA,351088,Populated Place,Dora (historical),Fannin,34.9317499,-84.1901932,609,1,34.9317499,-84.1901932,1871-1920,1871-1920
WEST FRANKLIN,NA,WEST FRANKLIN,PA,BRADFORD,NA,NA,Bradford,1851,1904,TRUE,4,61453,TRUE,53,TRUE,WEST FRANKLIN,BRADFORD,PA,1198309,Populated Place,West Franklin,Bradford,41.6967418,-76.6268938,293,1,41.6967418,-76.6268938,1821-1870,1871-1920
MIDDLE SWAMP,NA,MIDDLE SWAMP,NC,GATES,NA,NA,Gates,1837,1849,FALSE,6,99014,TRUE,12,TRUE,MIDDLE SWAMP,GATES,NC,1026287,Church,Middle Swamp Church,Gates,36.48515,-76.66218,9,NA,36.48515,-76.66218,1821-1870,1821-1870
CHEYENNE,NA,CHEYENNE,TX,WINKLER,NA,NA,Winkler,1929,1945,TRUE,2,130904,TRUE,16,TRUE,CHEYENNE,WINKLER,TX,1377169,Populated Place,Cheyenne,Winkler,31.98513,-103.1257,904,1,31.98513,-103.1257,1921-2000,1921-2000
LOWSVILLE,LOWESVILLE,LOW(E)SVILLE,WV,MONONGALIA,NA,NA,Monongalia,1856,1928,FALSE,3,96138,TRUE,72,TRUE,LOWSVILLE,MONONGALIA,WV,1555007,Populated Place,Lowsville,Monongalia,39.56286,-80.05313,261,1,39.56286,-80.05313,1821-1870,1921-2000
TIDEWATER,NA,TIDEWATER,VA,RICHMOND,NA,NA,Richmond,1902,1969,TRUE,1,117450,TRUE,67,TRUE,TIDEWATER,RICHMOND,VA,1475706,Populated Place,Tidewater,Richmond,37.85514,-76.69857,9,1,37.85514,-76.69857,1871-1920,1921-2000
HOPEWELL,NA,HOPEWELL,MS,CALHOUN,NA,NA,Calhoun,1840,1905,FALSE,3,27419,TRUE,65,TRUE,HOPEWELL,CALHOUN,MS,683378,Locale,Hopewell (historical),Calhoun,33.7737267,-89.3078491,112,1,33.7737267,-89.3078491,1821-1870,1871-1920
CHANDLER SPRINGS,CHANDLER'S SPRINGS,CHANDLER('S) SPRINGS,AL,TALLADEGA,NA,NA,Talladega,1855,1930,FALSE,2,10056,TRUE,75,TRUE,CHANDLER SPRINGS,TALLADEGA,AL,159365,Populated Place,Chandler Springs,Talladega,33.3306673,-85.9983012,361,1,33.3306673,-85.9983012,1821-1870,1921-2000
LUDLOW,NA,LUDLOW,MA,HAMPDEN,NA,NA,Hampden,1821,NA,TRUE,0,34232,TRUE,NA,TRUE,LUDLOW,HAMPDEN,MA,1978239,Post Office,Ludlow Post Office,Hampden,42.1593844,-72.481322,74,1,42.1593844,-72.481322,1821-1870,for business
BATTLES,NA,BATTLES,AR,IZARD,NA,NA,Izard,1907,1955,TRUE,1,3363,TRUE,48,TRUE,BATTLES,IZARD,AR,83591,Post Office,Battles Post Office (historical),Izard,36.045626,-91.7515335,199,1,36.045626,-91.7515335,1871-1920,1921-2000
NORTH MEHOOPANY,NA,NORTH MEHOOPANY,PA,WYOMING,NA,NA,Wyoming,1889,1954,TRUE,1,41336,TRUE,65,TRUE,NORTH MEHOOPANY,WYOMING,PA,1182608,Populated Place,North Mehoopany,Wyoming,41.5759094,-76.0621481,192,1,41.5759094,-76.0621481,1871-1920,1921-2000
