name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude
HAYDOCK,NA,HAYDOCK,IA,MONROE,NA,NA,Monroe,1924,1929,TRUE,3,88052,TRUE,5,TRUE,HAYDOCK,MONROE,IA,1975658,Post Office,Haydock Post Office (historical),Monroe,41.06667,-93.0377,253,1,41.06667,-93.0377
LOWER PENASCO,NA,LOWER PENASCO,NM,CHAVES,NA,NA,Chaves,1884,1917,TRUE,4,146830,FALSE,33,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HILTON,NA,HILTON,OH,GALLIA,NA,NA,Gallia,1891,1912,TRUE,3,89048,TRUE,21,TRUE,HILTON,GALLIA,OH,1987745,Post Office,Hilton Post Office (historical),Gallia,38.73064,-82.28598,185,1,38.73064,-82.28598
SAMPLE,NA,SAMPLE,KY,BRECKINRIDGE,NA,NA,Breckenridge,1890,NA,TRUE,0,111752,TRUE,NA,TRUE,SAMPLE,BRECKINRIDGE,KY,502882,Populated Place,Sample,Breckinridge,37.90451,-86.48109,129,1,37.90451,-86.48109
MENOMONIE,NA,MENOMONIE,WI,BROWN,NA,NA,Brown,1834,1837,TRUE,9,98737,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMSVILLE,NA,ADAMSVILLE (3),MD,FREDERICK,NA,NA,Frederick,1864,1865,TRUE,8,64532,TRUE,1,TRUE,ADAMSVILLE,FREDERICK,MD,589624,Populated Place,Adamsville,Frederick,39.3109356,-77.4747088,93,1,39.3109356,-77.4747088
ORANGEVILLE,NA,ORANGEVILLE,MI,BARRY,NA,NA,Barry,1894,1917,TRUE,2,104173,TRUE,23,TRUE,ORANGEVILLE,BARRY,MI,2572368,Post Office,Orangeville Post Office (historical),Barry,42.55278,-85.51917,236,1,42.55278,-85.51917
NEW MOOREFIELD,NA,NEW MOOREFIELD,OH,CLARK,NA,NA,Clark,1866,1926,TRUE,3,102129,TRUE,60,TRUE,NEW MOOREFIELD,CLARK,OH,1984364,Post Office,New Moorefield Post Office (historical),Clark,39.99173,-83.71659,319,1,39.99173,-83.71659
WARWICK,NA,WARWICK,MO,VERNON,NA,NA,Vernon,1875,1888,TRUE,6,60470,TRUE,13,TRUE,WARWICK,VERNON,MO,728366,Cemetery,Warwick Cemetery,Vernon,37.6742024,-94.2399387,283,1,37.6742024,-94.2399387
THE HEIGHTS,NA,THE HEIGHTS,MI,ROSCOMMON,NA,NA,Roscommon,1923,1956,TRUE,1,117204,TRUE,33,TRUE,THE HEIGHTS,ROSCOMMON,MI,628666,Populated Place,The Heights,Roscommon,44.32752,-84.77447,358,1,44.32752,-84.77447
BRINSMADE,NA,BRINSMADE,ND,BENSON,NA,NA,Benson,1892,1972,TRUE,1,128475,TRUE,80,TRUE,BRINSMADE,BENSON,ND,1028134,Populated Place,Brinsmade,Benson,48.1825,-99.32402,476,1,48.1825,-99.32402
BLOOD'S POINT,BLOODS POINT,BLOOD'S POINT,IL,DEKALB,NA,NA,De Kalb,1847,1867,TRUE,7,69422,FALSE,20,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HALLEMAN,NA,HALLEMAN,OK,PITTSBURG,NA,NA,Pittsburg,1898,1904,TRUE,5,140200,FALSE,6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUNSET,NA,SUNSET,LA,ST. LANDRY,NA,NA,Saint Landry,1890,NA,TRUE,0,56107,TRUE,NA,TRUE,SUNSET,ST. LANDRY,LA,1632006,Post Office,Sunset Post Office,St. Landry,30.4109823,-92.0632858,15,1,30.4109823,-92.0632858
TERRAPIN,NA,TERRAPIN,NC,HALIFAX,NA,NA,Halifax,1893,1911,TRUE,4,117108,FALSE,18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASDAGA,NA,CASDAGA,NY,CHAUTAUQUA,NA,NA,Chautauqua,1825,1830,TRUE,5,9253,FALSE,5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRUCE,NA,BRUCE,SC,HORRY,NA,NA,Horry,1898,1910,TRUE,4,7369,FALSE,12,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OLYMPUS,NA,OLYMPUS,TN,PICKETT,NA,NA,Pickett,1834,1907,FALSE,4,42639,FALSE,73,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GARRISON,NA,GARRISON,MN,CROW WING,NA,NA,Crow Wing,1884,NA,FALSE,0,84461,TRUE,NA,TRUE,GARRISON,CROW WING,MN,2071472,Post Office,Garrison Post Office,Crow Wing,46.29322,-93.82638,382,1,46.29322,-93.82638
YOUNG HICKORY,NA,YOUNG HICKORY,OH,MUSKINGUM,NA,NA,Muskingum,1846,1902,TRUE,4,123600,TRUE,56,TRUE,YOUNG HICKORY,MUSKINGUM,OH,2041246,Post Office,Young Hickory Post Office (historical),Muskingum,39.77924,-81.74846,348,1,39.77924,-81.74846
ASHLAND,NA,ASHLAND,OK,PITTSBURG,NA,NA,Pittsburg,1902,1986,TRUE,1,125495,TRUE,84,TRUE,ASHLAND,PITTSBURG,OK,1089732,Populated Place,Ashland,Pittsburg,34.76787,-96.06972,236,1,34.76787,-96.06972
PEARLAND,NA,PEARLAND,TX,BRAZORIA,NA,NA,Brazoria,1893,NA,TRUE,0,153167,TRUE,NA,TRUE,PEARLAND,BRAZORIA,TX,2472500,Post Office,Pearland Post Office,Brazoria,29.56046,-95.28121,14,1,29.56046,-95.28121
LOOP CREEK,NA,LOOP CREEK,WV,KANAWHA,NA,NA,Kanawha,1842,1843,TRUE,9,95930,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRITTON,NA,BRITTON,MD,ST. MARY'S,NA,NA,Saint Mary's,1907,1937,TRUE,2,70805,TRUE,30,TRUE,BRITTON,ST. MARY'S,MD,594605,Populated Place,Britton,St. Mary's,38.2601276,-76.6449616,3,1,38.2601276,-76.6449616
TWIN VALLEY,NA,TWIN VALLEY,MN,NORMAN,NA,NA,Norman,1878,NA,TRUE,0,118508,TRUE,NA,TRUE,TWIN VALLEY,NORMAN,MN,2082802,Post Office,Twin Valley Post Office,Norman,47.26072,-96.25955,333,1,47.26072,-96.25955
CLANTON,NA,CLANTON,IA,MADISON,NA,NA,Madison,1859,1894,TRUE,5,74423,TRUE,35,TRUE,CLANTON,MADISON,IA,1969297,Post Office,Clanton Post Office (historical),Madison,41.22916,-94.06217,337,1,41.22916,-94.06217
ROBERDELL,NA,ROBERDELL,NC,RICHMOND,NA,NA,Richmond,1884,1953,TRUE,1,109928,TRUE,69,TRUE,ROBERDELL,RICHMOND,NC,1027449,Populated Place,Roberdell,Richmond,34.97154,-79.74478,66,1,34.97154,-79.74478
BON AIR,NA,BON AIR,AL,TALLADEGA,NA,NA,Talladega,1908,NA,TRUE,0,5884,TRUE,NA,TRUE,BON AIR,TALLADEGA,AL,114706,Populated Place,Bon Air,Talladega,33.2637246,-86.3355323,134,1,33.2637246,-86.3355323
